datetime,city,latitude,longitude,temperature,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,precipitation,description
2025-08-18 21:00:13,Cape Town,-33.9258,18.4232,13.89,13.89,13.89,94,1022,3.46,347,0.15,light rain
2025-08-18 20:56:27,Toronto,43.7001,-79.4163,22.01,22.01,22.01,48,1023,3.37,107,0,overcast clouds
2025-08-18 20:54:38,Lagos,6.5833,3.75,23.09,23.09,23.09,90,1016,2.35,236,0,broken clouds
2025-08-18 21:00:13,Cape Town,-33.9258,18.4232,13.89,13.89,13.89,94,1022,3.46,347,0.15,light rain
2025-08-18 21:00:13,Cape Town,-33.9258,18.4232,13.89,13.89,13.89,94,1022,3.46,347,0.15,light rain
2025-08-18 21:00:20,Doha,25.2867,51.5333,34.24,34.24,34.24,64,998,4.26,48,0,overcast clouds
2025-08-18 20:58:54,Cairo,30.0626,31.2497,29.04,29.04,29.04,43,1011,4.49,53,0,clear sky
2025-08-18 21:00:13,Tokyo,35.6895,139.6917,27.42,27.42,27.42,66,1014,1.57,13,0,broken clouds
2025-08-18 21:02:17,Buenos Aires,-34.6132,-58.3772,14.7,14.7,14.7,83,1018,6.17,113,0,overcast clouds
2025-08-18 21:00:08,Toronto,43.7001,-79.4163,22.01,22.01,22.01,48,1023,3.37,107,0,overcast clouds
2025-08-18 21:02:16,Beijing,39.9075,116.3972,25.6,25.6,25.6,95,1006,1.86,90,8.65,heavy intensity rain
2025-08-18 21:00:13,Tokyo,35.6895,139.6917,27.42,27.42,27.42,66,1014,1.57,13,0,broken clouds
2025-08-18 21:00:08,Rome,34.257,-85.1647,33.27,33.27,33.27,50,1014,1.82,17,0,scattered clouds
2025-08-18 21:01:01,Rio de Janeiro,-22.9028,-43.2075,21.52,21.52,21.52,75,1022,4.48,111,0,clear sky
2025-08-18 20:50:18,Hong Kong,22.2855,114.1577,27.22,27.22,27.22,87,1010,4.57,146,2.37,moderate rain
2025-08-18 20:50:18,Hong Kong,22.2855,114.1577,27.22,27.22,27.22,87,1010,4.57,146,2.37,moderate rain
2025-08-18 20:55:26,Moscow,55.7522,37.6156,14.07,14.07,14.07,89,1006,3.63,283,0,overcast clouds
2025-08-18 20:56:30,Bogota,4.6097,-74.0817,16.49,16.49,16.49,68,1015,2.46,165,0,broken clouds
2025-08-18 20:58:54,Cairo,30.0626,31.2497,29.04,29.04,29.04,43,1011,4.49,53,0,clear sky
2025-08-18 20:55:43,Santiago,-33.4569,-70.6483,16.06,16.06,16.06,63,1017,4.43,247,0,overcast clouds
2025-08-18 21:00:08,Rome,34.257,-85.1647,33.27,33.27,33.27,50,1014,1.82,17,0,scattered clouds
2025-08-18 21:00:01,Madrid,40.4165,-3.7026,29.9,29.9,29.9,12,1011,4.42,227,0,overcast clouds
2025-08-18 21:00:49,Tehran,35.6944,51.4215,28.34,28.34,28.34,25,1007,2.58,158,0,clear sky
2025-08-18 21:01:01,Rio de Janeiro,-22.9028,-43.2075,21.52,21.52,21.52,75,1022,4.48,111,0,clear sky
2025-08-18 20:52:49,Dhaka,23.7104,90.4074,26.85,26.85,26.85,87,1004,4.66,137,0,broken clouds
2025-08-18 20:55:26,Moscow,55.7522,37.6156,14.07,14.07,14.07,89,1006,3.63,283,0,overcast clouds
2025-08-18 20:59:48,São Paulo,-23.5475,-46.6361,17.07,17.07,17.07,72,1022,5.97,149,0,clear sky
2025-08-18 20:52:04,Seoul,37.5683,126.9778,25.8,25.8,25.8,97,1012,1.51,177,0.44,light rain
2025-08-18 21:01:01,Rio de Janeiro,-22.9028,-43.2075,21.52,21.52,21.52,75,1022,4.48,111,0,clear sky
2025-08-18 21:00:13,Tokyo,35.6895,139.6917,27.42,27.42,27.42,66,1014,1.57,13,0,broken clouds
2025-08-18 21:00:04,Cape Town,-33.9258,18.4232,13.89,13.89,13.89,94,1022,3.46,347,0.15,light rain
2025-08-18 21:03:30,Berlin,52.5244,13.4105,17.16,17.16,17.16,74,1019,1.49,110,0,clear sky
2025-08-18 21:00:03,Riyadh,24.6877,46.7219,34.37,34.37,34.37,12,1002,4.36,34,0,broken clouds
2025-08-18 20:52:49,Dhaka,23.7104,90.4074,26.85,26.85,26.85,87,1004,4.66,137,0,broken clouds
2025-08-18 20:59:18,Kuwait City,29.3697,47.9783,36.07,36.07,36.07,24,998,7.19,302,0,scattered clouds
