datetime,city,latitude,longitude,temperature,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,precipitation,description
2020-01-01,Karachi,-28.8166236,24.991639,28.5,20.8,37.6,,1013.3,17.7,,,
2020-01-02,Karachi,-28.8166236,24.991639,28.8,20.9,38.0,,1013.2,19.7,,,
2020-01-03,Karachi,-28.8166236,24.991639,25.1,19.0,34.0,,1014.7,16.9,,,
2020-01-04,Karachi,-28.8166236,24.991639,23.1,19.0,34.0,,1015.5,24.6,,,
2020-01-05,Karachi,-28.8166236,24.991639,26.0,16.9,35.0,,1013.0,13.9,,,
2020-01-06,Karachi,-28.8166236,24.991639,27.4,17.0,36.0,,1013.5,11.4,,,
2020-01-07,Karachi,-28.8166236,24.991639,20.3,18.0,36.4,,1015.7,19.0,,0.5,
2020-01-08,Karachi,-28.8166236,24.991639,21.1,18.4,27.3,,1014.5,15.4,,0.5,
2020-01-09,Karachi,-28.8166236,24.991639,22.7,17.3,29.2,,1015.1,5.1,,11.9,
2020-01-10,Karachi,-28.8166236,24.991639,25.3,16.1,32.5,,1017.2,11.2,,0.3,
2020-01-11,Karachi,-28.8166236,24.991639,23.9,20.0,32.5,,1018.6,21.8,,0.0,
2020-01-12,Karachi,-28.8166236,24.991639,24.5,20.4,34.0,,1017.5,15.2,,,
2020-01-13,Karachi,-28.8166236,24.991639,25.6,18.0,33.0,,1015.4,12.4,,,
2020-01-14,Karachi,-28.8166236,24.991639,25.8,19.0,32.0,,1016.8,14.7,,,
2020-01-15,Karachi,-28.8166236,24.991639,27.2,19.9,35.0,,1018.3,11.5,,,
2020-01-16,Karachi,-28.8166236,24.991639,28.7,19.0,37.0,,1017.5,10.0,,,
2020-01-17,Karachi,-28.8166236,24.991639,28.8,20.0,36.0,,1013.6,15.0,,,
2020-01-18,Karachi,-28.8166236,24.991639,25.5,21.0,30.0,,1011.2,15.2,,,
2020-01-19,Karachi,-28.8166236,24.991639,25.4,17.5,33.5,,1011.2,14.4,,6.1,
2020-01-20,Karachi,-28.8166236,24.991639,25.2,19.0,34.1,,1014.3,24.4,,0.3,
2020-01-21,Karachi,-28.8166236,24.991639,26.3,19.0,35.6,,1013.6,21.3,,3.0,
2020-01-22,Karachi,-28.8166236,24.991639,25.9,13.4,36.2,,1013.0,14.1,,0.0,
2020-01-23,Karachi,-28.8166236,24.991639,26.0,16.0,35.2,,1012.1,13.2,,,
2020-01-24,Karachi,-28.8166236,24.991639,23.0,18.0,28.0,,1015.3,28.6,,,
2020-01-25,Karachi,-28.8166236,24.991639,25.8,17.0,34.0,,1014.5,21.6,,,
2020-01-26,Karachi,-28.8166236,24.991639,26.1,19.8,33.3,,1013.9,23.2,,,
2020-01-27,Karachi,-28.8166236,24.991639,21.2,13.0,29.8,,1019.9,12.2,,,
2020-01-28,Karachi,-28.8166236,24.991639,24.3,12.0,35.0,,1018.3,6.5,,,
2020-01-29,Karachi,-28.8166236,24.991639,26.7,14.9,37.1,,1016.8,8.1,,,
2020-01-30,Karachi,-28.8166236,24.991639,29.5,17.8,38.1,,1017.3,10.2,,,
2020-01-31,Karachi,-28.8166236,24.991639,28.0,22.8,37.0,,1019.3,25.6,,,
2020-02-01,Karachi,-28.8166236,24.991639,28.5,23.0,35.8,,1019.8,15.2,,,
2020-02-02,Karachi,-28.8166236,24.991639,27.0,23.0,36.0,,1021.0,15.6,,,
2020-02-03,Karachi,-28.8166236,24.991639,27.6,18.4,36.8,,1020.5,16.6,,1.0,
2020-02-04,Karachi,-28.8166236,24.991639,27.4,19.1,36.8,,1018.5,12.2,,0.3,
2020-02-05,Karachi,-28.8166236,24.991639,26.7,17.8,36.3,,1015.9,13.6,,0.0,
2020-02-06,Karachi,-28.8166236,24.991639,25.0,20.0,31.3,,1015.5,10.6,,,
2020-02-07,Karachi,-28.8166236,24.991639,23.4,18.9,30.1,,1015.4,13.2,,,
2020-02-08,Karachi,-28.8166236,24.991639,20.8,16.8,31.6,,1016.0,17.7,,41.9,
2020-02-09,Karachi,-28.8166236,24.991639,23.4,15.9,31.4,,1015.5,9.0,,1.0,
2020-02-10,Karachi,-28.8166236,24.991639,24.4,16.6,31.4,,1017.0,9.4,,0.3,
2020-02-11,Karachi,-28.8166236,24.991639,23.8,16.7,31.5,,1019.9,9.5,,0.0,
2020-02-12,Karachi,-28.8166236,24.991639,24.0,18.8,31.0,,1018.9,16.3,,,
