datetime,city,latitude,longitude,temperature,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,precipitation,description
2023-12-12,dubai,25.0742823,55.1885387,24.1,19.3,28.2,,1014.3,8.7,,0.0,
2023-12-13,dubai,25.0742823,55.1885387,24.1,19.6,28.8,,1013.6,9.6,,0.0,
2023-12-14,dubai,25.0742823,55.1885387,24.1,18.7,28.5,,1014.7,13.7,,0.0,
2023-12-15,dubai,25.0742823,55.1885387,24.2,24.0,26.4,,1016.8,20.9,,0.0,
2023-12-16,dubai,25.0742823,55.1885387,22.9,18.4,27.3,,1019.2,10.8,,0.0,
2023-12-17,dubai,25.0742823,55.1885387,23.5,19.6,28.7,,1020.0,13.1,,0.0,
2023-12-18,dubai,25.0742823,55.1885387,23.3,17.2,29.9,,1018.8,10.1,,0.0,
2023-12-19,dubai,25.0742823,55.1885387,23.3,18.0,28.0,,1018.7,8.9,,0.0,
2023-12-20,dubai,25.0742823,55.1885387,23.8,19.8,28.0,,1018.8,9.7,,0.0,
2023-12-21,dubai,25.0742823,55.1885387,23.2,18.9,26.3,,1017.9,11.4,,0.0,
2023-12-22,dubai,25.0742823,55.1885387,22.4,18.8,26.6,,1016.9,11.3,,0.0,
2023-12-23,dubai,25.0742823,55.1885387,22.3,17.8,26.7,,1016.6,9.8,,0.0,
2023-12-24,dubai,25.0742823,55.1885387,23.6,18.8,28.5,,1018.6,9.0,,0.0,
2023-12-25,dubai,25.0742823,55.1885387,24.5,20.6,29.4,,1019.1,9.6,,0.0,
2023-12-26,dubai,25.0742823,55.1885387,25.1,20.9,29.0,,1019.0,11.5,,0.0,
2023-12-27,dubai,25.0742823,55.1885387,24.2,20.0,28.9,,1018.5,9.8,,0.0,
2023-12-28,dubai,25.0742823,55.1885387,23.1,18.0,27.4,,1017.1,9.5,,0.0,
2023-12-29,dubai,25.0742823,55.1885387,23.9,19.3,28.8,,1016.6,8.9,,0.0,
2023-12-30,dubai,25.0742823,55.1885387,24.3,20.4,29.6,,1016.9,9.5,,0.0,
2023-12-31,dubai,25.0742823,55.1885387,24.4,20.4,27.0,,1016.7,9.9,,0.0,
2024-01-01,dubai,25.0742823,55.1885387,24.6,20.8,27.7,,1017.3,13.4,,0.0,
2024-01-02,dubai,25.0742823,55.1885387,23.5,20.7,27.2,,1017.0,14.3,,0.0,
2024-01-03,dubai,25.0742823,55.1885387,22.9,18.8,28.0,,1015.0,13.5,,0.0,
2024-01-04,dubai,25.0742823,55.1885387,23.5,22.0,25.4,,1015.6,24.4,,0.0,
2024-01-05,dubai,25.0742823,55.1885387,22.2,18.0,25.5,,1016.2,12.9,,0.0,
2024-01-06,dubai,25.0742823,55.1885387,21.9,17.4,25.8,,1016.9,12.0,,0.0,
