datetime,latitude,longitude,temperature,precipitation,humidity,wind_speed,solar_radiation
20200101,-32.45,125.6,22.51,0.0,60.28,4.78,9.2753
20200101,9.69,-114.66,26.62,5.1,84.02,3.53,3.9046
20200101,-53.37,-30.96,1.99,3.07,94.52,7.16,4.5432
20200101,57.4,-115.65,-12.46,0.44,99.99,0.38,0.2842
20200101,-33.55,-18.17,19.8,0.24,81.54,3.16,8.5094
20200101,-7.67,31.42,21.01,0.76,82.02,1.22,5.0335
20200101,-44.44,12.85,10.56,2.62,95.22,8.78,4.3423
20200101,-49.45,-22.92,4.77,4.68,87.14,8.64,3.029
20200101,44.07,77.22,-1.67,0.14,82.84,2.38,1.7839
20200101,-14.93,-15.73,23.58,0.01,77.46,5.67,8.3328
20200101,52.42,159.26,1.17,13.51,81.56,12.33,0.1678
20200101,39.43,-88.54,2.2,0.0,81.06,4.24,2.8104
20200101,19.47,37.85,25.4,0.0,75.65,4.2,3.5933
20200101,-1.92,77.23,28.41,2.97,74.85,2.18,5.6064
20200101,36.15,-43.08,15.51,0.05,64.4,4.23,2.1734
20200101,57.03,91.13,-9.33,0.84,98.73,1.19,0.4056
20200101,-20.44,67.22,27.28,8.9,85.69,7.6,8.0314
20200101,49.8,45.84,-2.12,3.07,92.76,3.51,0.3317
20200101,-23.06,47.26,25.98,7.34,78.1,0.55,7.3123
20200101,-0.27,-112.99,23.59,0.06,87.81,4.38,7.1237
20200101,-28.54,-160.24,21.31,0.96,74.88,4.95,5.5332
20200101,36.11,-45.86,15.08,0.24,66.39,4.47,2.0496
20200101,57.03,65.02,-9.61,0.78,96.32,3.89,0.3206
20200101,21.47,141.34,26.59,0.18,70.37,2.67,4.7402
20200101,-19.81,36.37,28.59,1.55,80.17,5.83,7.2816
20200101,24.12,-0.41,10.35,0.0,30.84,5.72,4.2907
20200101,-33.66,28.11,21.91,2.01,82.09,7.08,4.9488
20200101,-41.03,161.3,16.77,11.36,97.25,3.9,2.6354
20200101,-40.94,108.99,11.86,0.44,76.59,8.57,8.2918
20200101,41.15,-129.38,12.99,0.23,94.19,5.65,1.0025
20200101,18.42,-179.72,25.18,1.62,81.98,9.27,3.5364
20200101,-50.31,59.88,4.71,4.76,88.71,10.04,8.5915
20200101,-4.0,-152.89,27.5,0.0,76.61,5.87,7.0644
20200101,47.49,-56.92,0.91,12.23,93.3,8.75,0.3341
20200101,5.78,-44.65,26.44,0.74,75.93,6.56,5.3688
20200101,0.5,126.95,29.0,1.39,77.61,3.54,6.461
20200101,8.53,-119.23,26.66,8.21,84.58,3.45,5.0177
20200101,16.42,124.88,27.26,1.14,80.28,8.52,3.5203
20200101,-1.59,-178.59,28.99,8.25,76.15,2.26,5.4
20200101,-54.83,-116.69,5.23,0.79,81.31,8.41,5.7077
20200101,58.77,-11.09,10.38,8.5,89.27,13.74,0.138
20200101,-5.28,142.48,17.9,28.17,93.57,0.67,5.5205
20200101,14.17,-60.62,26.89,1.0,77.61,4.68,5.4859
20200101,24.54,166.69,20.62,0.0,73.76,7.52,4.5019
20200101,53.18,-151.42,0.04,1.97,75.06,10.29,0.4968
20200101,-5.18,-124.08,25.34,0.08,83.75,4.54,7.3709
20200101,-25.98,6.16,20.44,0.11,76.1,6.28,7.433
20200101,59.89,-29.72,2.34,1.03,73.98,12.66,0.192
20200101,-50.78,-108.82,6.66,2.21,82.85,8.15,6.7874
20200101,-22.4,62.67,26.65,9.72,87.76,11.14,5.2942
20200101,34.68,-82.65,4.93,0.0,81.4,0.6,3.3713
20200101,8.96,148.91,27.97,2.73,79.28,8.22,5.2538
20200101,-20.73,43.16,29.01,5.56,79.72,3.29,8.166
20200101,-27.32,-82.99,19.69,0.01,72.29,4.31,7.1878
20200101,10.98,-140.53,25.97,8.59,83.09,6.97,3.2669
20200101,37.54,-142.81,15.82,0.02,87.21,7.64,2.3971
20200101,49.73,167.49,1.52,0.2,80.33,7.78,0.9701
20200101,36.81,144.62,9.78,0.28,73.19,9.15,1.4786
20200101,20.57,105.01,17.01,1.54,90.91,0.52,1.26
20200101,9.73,69.67,27.8,0.53,81.19,3.49,5.364
20200101,0.04,-153.16,26.89,0.01,78.51,6.1,6.8789
20200101,21.64,-91.0,25.0,1.55,88.32,4.78,3.9454
20200101,3.92,-174.85,27.97,1.43,86.1,4.29,6.319
20200101,-34.62,145.71,25.73,0.0,18.22,3.25,9.5134
20200101,37.28,-3.2,8.7,0.0,56.18,0.81,3.0588
20200101,18.22,34.83,23.17,0.0,41.82,2.41,4.9949
20200101,-4.4,-17.77,27.08,0.01,75.43,5.7,7.2329
20200101,26.73,104.25,8.98,0.0,76.65,4.03,4.1556
20200101,31.48,-116.97,14.75,0.0,70.68,2.23,3.7889
20200101,-51.87,-72.3,13.81,0.64,74.98,4.77,6.198
20200101,30.35,-89.52,9.77,6.19,84.13,0.52,2.3494
20200101,40.45,-3.73,5.65,0.0,68.87,0.61,2.5531
20200101,13.96,-5.88,20.09,0.0,27.33,3.82,5.5836
20200101,8.87,-168.75,28.04,0.2,74.01,7.83,4.8895
20200101,-52.22,58.06,3.61,1.6,89.11,10.72,7.1969
20200101,-45.09,-12.85,8.72,0.59,79.63,8.65,4.9543
20200101,8.35,26.75,26.69,0.0,28.51,2.68,5.9918
20200101,-31.59,120.42,29.58,0.0,23.78,2.5,9.3948
20200101,-49.83,-86.21,8.74,3.29,82.67,5.61,8.2481
20200101,10.2,57.58,26.91,0.07,78.32,6.05,5.5092
20200101,2.82,-45.27,27.42,2.05,79.39,6.47,5.3069
20200101,23.85,-33.17,22.18,0.0,75.41,4.29,4.5082
20200101,-6.39,142.09,25.57,23.89,95.37,0.09,4.6231
20200101,-57.38,141.04,3.24,0.87,87.21,7.41,6.0331
20200101,22.62,39.32,21.82,0.0,51.85,2.2,3.7658
20200101,55.52,75.65,-13.09,2.06,96.67,6.36,0.5218
20200101,-16.09,86.42,27.14,3.13,83.01,5.35,7.5271
20200101,-30.37,-124.19,19.44,4.37,90.84,4.11,6.385
20200101,-43.65,127.34,12.01,0.54,85.35,8.98,7.0543
20200101,-40.5,126.79,14.38,1.04,86.88,7.05,6.1836
20200101,37.1,-41.32,16.01,0.07,64.82,5.36,1.8326
20200101,-40.41,45.25,11.55,0.26,82.23,4.19,6.649
20200101,-47.64,116.81,7.26,1.2,85.24,4.7,4.1321
20200101,1.96,-157.87,27.09,0.01,77.57,4.71,6.6002
20200101,-25.27,-53.07,26.88,11.31,73.86,0.19,6.0089
20200101,33.38,-144.36,18.07,0.1,80.37,6.96,3.3072
20200101,-21.87,-42.74,23.5,0.95,82.36,1.78,7.5026
20200101,-54.84,-170.68,7.85,0.95,85.77,6.39,4.6142
20200101,-16.8,148.03,26.83,0.06,82.16,3.76,8.1463
20200101,32.12,-1.28,7.45,0.0,45.0,1.06,3.8796
20200101,-3.64,131.57,29.2,0.87,80.03,3.59,6.2995
20200101,51.39,163.5,1.67,2.43,77.97,11.51,0.4262
20200101,25.1,154.67,24.6,2.05,76.76,6.13,2.6918
20200101,35.51,97.93,-13.86,0.0,61.32,5.2,3.2011
20200101,-18.57,-113.09,22.92,0.2,79.43,2.89,8.5829
20200101,11.42,59.6,26.63,0.35,77.26,5.87,5.3921
20200101,42.15,-130.32,12.85,0.45,92.48,5.96,1.0999
20200101,-31.28,-71.46,20.22,0.44,51.15,2.39,6.7099
20200101,-34.92,-74.26,15.91,0.0,86.58,6.16,8.3851
20200101,-18.45,6.32,21.82,0.18,77.66,6.69,6.9449
20200101,47.17,108.32,-16.38,0.0,70.25,1.84,1.7791
20200101,58.78,27.25,-1.16,0.46,97.17,2.13,0.2273
20200101,-35.39,-64.2,23.76,0.0,56.37,0.18,5.1557
20200101,41.24,-101.8,2.66,0.19,57.3,4.0,1.2684
20200101,16.9,-148.06,24.65,0.18,77.25,6.95,4.134
20200101,-33.46,-166.08,19.65,1.21,76.14,9.92,6.0778
20200101,-9.27,-177.07,28.49,2.89,81.58,3.12,5.3417
20200101,42.08,132.66,-4.19,0.0,68.87,9.02,2.2174
20200101,26.62,140.14,21.27,0.4,78.31,7.05,3.4627
20200101,18.67,91.2,24.12,1.54,82.52,5.22,2.8901
20200101,-40.19,-45.94,17.41,2.56,84.34,4.8,5.1444
20200101,12.06,-178.86,27.85,0.27,74.37,8.83,4.9344
20200101,-7.76,-91.09,22.84,0.06,71.89,2.13,5.6633
20200101,-4.19,-61.63,25.65,12.15,92.5,0.25,4.1717
20200101,4.72,73.58,27.98,0.18,80.72,4.61,5.7785
20200101,59.14,-129.57,-9.23,2.54,98.06,1.8,0.1301
20200101,-35.18,-149.46,20.46,9.68,90.21,7.0,4.6546
20200101,-46.04,63.75,9.42,8.91,95.13,6.94,3.5366
20200101,-36.44,116.4,17.38,1.78,84.09,4.98,6.8669
20200101,47.78,94.62,-13.52,0.0,94.4,2.58,1.0078
20200101,25.46,-158.3,23.73,0.22,70.66,3.43,4.1009
20200101,-2.25,171.82,28.53,2.98,80.62,2.73,5.112
20200101,-56.09,60.27,2.36,2.2,86.74,12.34,6.2436
20200101,-56.3,-16.02,0.21,0.46,83.36,5.0,5.4497
20200101,-58.46,146.95,2.25,0.31,93.34,7.49,6.6634
20200101,29.72,-153.24,21.53,0.9,81.9,6.65,3.3881
20200101,34.03,157.63,16.67,20.13,81.02,10.14,1.416
20200101,32.73,86.78,-17.37,0.0,66.57,2.76,3.1402
20200101,36.08,161.24,13.49,14.35,80.41,10.08,0.9526
20200101,49.88,-15.54,11.89,1.09,92.27,10.5,0.6574
20200101,16.82,-29.6,22.99,0.0,78.33,6.02,4.8797
20200101,-4.32,116.77,28.34,7.36,82.22,3.78,2.3777
20200101,37.67,98.18,-13.75,0.0,50.11,2.33,2.939
20200101,10.87,29.25,26.46,0.0,20.98,3.03,5.8949
20200101,29.24,156.16,22.16,5.63,80.43,8.82,1.3553
20200101,57.43,-59.7,-2.0,0.93,82.44,5.06,0.2119
20200101,34.56,-138.34,15.73,0.0,75.69,2.61,3.403
20200101,14.97,-34.64,23.69,0.0,80.94,5.64,5.4415
20200101,14.88,44.54,16.89,0.0,46.79,1.44,5.585
20200101,-54.72,-26.21,1.44,2.88,91.07,3.61,3.8436
20200101,26.66,-179.77,18.84,0.03,72.29,6.05,2.3038
20200101,-35.67,124.75,18.44,0.24,78.8,3.92,8.893
20200101,49.99,63.46,-4.23,0.83,96.42,7.33,0.9595
20200101,-32.39,-11.62,20.88,0.67,83.59,4.63,6.8414
20200101,-51.93,-104.62,6.12,1.33,81.04,7.24,6.9802
20200101,-48.55,121.45,6.97,0.5,82.65,5.06,5.6861
20200101,-31.76,75.3,20.19,3.89,86.86,8.38,6.1769
20200101,22.68,-42.62,22.95,0.52,81.12,4.12,4.2725
20200101,30.61,122.77,9.28,0.07,69.57,3.16,3.3816
20200101,-5.56,-115.54,25.06,0.0,78.58,4.54,7.5658
20200101,-56.29,35.64,1.11,1.07,86.73,6.85,6.3528
20200101,0.93,-76.44,23.59,4.45,92.31,0.09,5.0678
20200101,38.24,-48.14,15.1,1.16,71.08,6.61,2.2476
20200101,52.12,102.57,-16.71,0.0,89.61,1.48,1.0632
20200101,-23.08,75.25,26.11,2.38,83.85,5.66,8.1586
20200101,-18.6,-8.6,22.96,0.0,77.54,6.1,7.8329
20200101,6.53,33.58,27.58,0.26,65.48,1.25,5.9002
20200101,53.87,-26.6,7.71,18.58,92.07,5.22,0.4368
20200101,1.01,50.94,27.8,1.66,85.82,5.14,6.1668
20200101,-49.42,173.87,10.66,2.07,94.11,6.84,5.3309
20200101,26.34,-100.82,11.92,7.6,82.04,2.28,1.0478
20200101,6.64,-15.32,28.33,3.38,71.58,0.82,5.4941
20200101,-28.86,-164.46,21.56,0.08,71.05,6.7,7.8406
20200101,-16.97,94.6,26.32,0.13,79.16,6.34,7.4654
20200101,-10.52,-56.34,24.75,8.58,87.19,0.1,5.4307
20200101,-47.58,-143.01,12.3,0.46,98.27,4.36,5.6282
20200101,28.48,-17.26,19.77,0.0,60.84,3.38,3.9115
20200101,54.72,-71.39,-12.73,1.03,97.9,2.68,0.5858
20200101,-47.86,-110.11,7.97,2.88,82.0,8.49,7.5696
20200101,-17.73,100.61,25.51,0.14,80.68,5.71,6.6602
20200101,18.3,99.14,21.81,0.0,77.79,0.96,4.415
20200101,6.34,-31.09,26.66,0.22,80.85,4.62,4.5437
20200101,13.7,11.27,15.81,0.0,27.58,5.24,5.6016
20200101,42.35,-27.68,15.26,11.89,76.1,11.05,1.7599
20200101,18.25,111.23,23.33,2.28,84.17,8.57,2.9491
20200101,37.95,78.28,-4.29,0.0,33.44,1.93,2.7744
20200101,-35.95,-102.23,14.51,0.39,78.9,6.07,7.325
20200101,13.78,174.57,26.74,2.05,83.6,9.81,3.8645
20200101,-27.43,57.01,23.74,1.23,87.51,8.37,6.1579
20200101,-35.51,-30.2,19.05,4.13,95.89,6.09,3.9708
20200101,53.56,-129.25,0.74,7.53,95.41,0.84,0.3257
20200101,-27.43,22.53,30.27,3.74,28.9,1.87,8.6198
20200101,27.2,24.95,8.89,0.53,48.11,1.64,2.869
20200101,39.66,31.55,-1.62,0.64,93.0,2.36,1.2478
20200101,-45.09,-91.21,10.02,2.16,83.73,5.98,8.9957
20200101,51.83,-33.89,5.53,6.82,82.92,11.37,0.2292
20200101,-11.31,-18.43,24.68,0.0,75.21,6.04,7.6574
20200101,-5.2,82.86,27.96,1.79,79.1,2.65,6.9242
20200101,5.91,-161.09,28.4,2.7,80.01,7.01,3.7414
20200101,-28.81,-3.36,20.16,0.04,68.69,1.62,8.79
20200101,54.41,10.32,3.18,0.06,93.58,5.68,0.4865
20200101,-20.59,19.62,26.7,3.72,57.2,1.89,4.2655
20200101,46.17,4.85,0.07,0.09,95.41,0.91,1.0102
20200101,31.29,-103.53,8.7,0.0,45.78,3.93,1.8893
20200101,-7.37,102.94,27.58,18.59,85.05,2.22,1.0337
20200101,9.36,172.33,28.56,5.79,83.91,7.82,4.8379
20200101,-55.6,49.31,1.6,0.67,84.6,10.66,7.0781
20200101,-4.63,-24.48,27.28,0.06,78.06,6.17,7.1179
20200101,2.15,-54.86,25.09,0.01,65.02,0.0,5.4624
20200101,-14.42,98.33,26.92,0.2,79.04,5.11,7.3073
20200101,-1.83,3.36,27.64,5.46,83.74,2.83,6.425
20200101,-18.01,-102.47,21.9,0.05,75.67,3.35,7.3217
20200101,-46.65,42.88,6.73,0.11,86.58,7.21,4.7707
20200101,11.37,103.15,25.53,0.05,74.43,1.09,5.7898
20200101,31.55,-154.51,20.2,5.45,85.77,7.76,3.1406
20200101,-2.3,-167.13,27.65,0.21,78.02,3.5,5.941
20200101,-15.53,-37.72,26.98,6.32,81.64,6.26,3.4452
20200101,-26.13,165.07,22.57,0.06,75.93,3.97,8.1804
20200101,-16.98,-36.83,26.42,7.18,84.15,6.19,4.5881
20200101,50.95,84.97,-12.96,0.26,95.92,4.9,0.3355
20200101,27.76,-5.16,8.12,0.0,40.0,3.86,4.2259
20200101,23.56,68.23,15.98,0.0,61.8,4.56,3.3727
20200101,-22.75,72.77,26.21,6.34,86.72,6.24,7.6685
20200101,9.05,168.07,28.38,6.67,82.82,8.95,3.6329
20200101,29.12,-160.34,20.52,1.33,82.45,7.98,1.5689
20200101,26.19,-18.06,19.69,0.0,65.38,7.04,3.2263
20200101,36.88,-58.35,20.42,5.45,79.66,9.11,2.7384
20200101,49.95,-63.34,-1.99,8.45,96.64,6.35,0.4409
20200101,43.08,-62.69,6.52,0.44,81.02,9.19,0.9497
20200101,0.47,51.75,27.87,1.51,86.25,4.84,6.4195
20200101,-47.57,-20.66,6.62,1.75,83.82,8.69,3.5683
20200101,-56.29,92.79,2.35,2.2,88.5,8.39,5.676
20200101,-32.93,73.51,19.27,3.48,86.1,8.61,5.8442
20200101,-16.04,-59.19,27.84,18.79,71.76,0.96,5.9011
20200101,23.76,136.86,23.95,1.7,80.54,7.22,3.5635
20200101,-8.75,-21.54,25.67,0.0,76.36,5.66,7.6937
20200101,23.08,130.98,23.32,1.08,78.94,8.14,2.8882
20200101,-34.23,135.85,21.19,0.0,43.41,2.75,9.3262
20200101,48.94,-105.5,-0.94,1.16,97.55,2.79,0.9257
20200101,-41.08,-133.12,14.94,0.92,89.62,5.93,7.519
20200101,-29.97,-57.48,26.82,0.02,64.15,4.36,5.2246
20200101,16.87,-129.61,22.75,0.15,74.24,7.85,3.396
20200101,-37.54,50.24,17.0,1.11,92.47,3.32,7.6291
